State/System/Region,Requirement(MW) - Jan14,Availability(MW) - Jan14,Surplus / Deficit (MW) -Jan14,Surplus / Deficit (%) - Jan14,Requirement(MW) April13 -Jan14,Availability(MW) April13 -Jan14,Surplus / Deficit (MW) April13 -Jan14,Surplus / Deficit (%) April13 -Jan14
Chandigarh,232,232,0,0.0,345,345,0,0.0
Delhi,"4,103","4,000",-103,-2.5,"6,035","5,653",-382,-6.3
Haryana,"6,043","6,043",0,0.0,"8,114","8,114",0,0.0
Himachal Pradesh,"1,479","1,392",-87,-5.9,"1,561","1,392",-169,-10.8
Jammu & Kashmir,"2,490","1,991",-499,-20.0,"2,490","1,991",-499,-20.0
Punjab,"5,531","5,531",0,0.0,"10,089","8,733","-1,356",-13.4
Rajasthan,"9,977","9,936",-41,-0.4,"9,977","9,936",-41,-0.4
Uttar Pradesh,"12,885","10,950","-1,935",-15.0,"13,089","12,327",-762,-5.8
Uttarakhand,"1,814","1,774",-40,-2.2,"1,814","1,774",-40,-2.2
Northern Region,"40,300","38,227","-2,073",-5.1,"45,934","42,774","-3,160",-6.9
Chattisgarh,"3,013","2,981",-32,-1.1,"3,365","3,320",-45,-1.3
Gujarat,"11,218","11,178",-40,-0.4,"12,201","12,201",0,0.0
Madhya Pradesh,"9,604","9,040",-564,-5.9,"9,716","9,716",0,0.0
Maharashtra,"18,427","17,013","-1,414",-7.7,"18,427","17,013","-1,414",-7.7
Daman & Diu ,297,297,0,0.0,322,297,-25,-7.8
Dadar Nagar Haveli,654,654,0,0.0,661,661,0,0.0
Goa,449,433,-16,-3.6,529,529,0,0.0
Western Region,"41,097","39,731","-1,366",-3.3,"41,335","40,304","-1,031",-2.5
Andhra Pradesh,"12,280","12,112",-168,-1.4,"14,072","12,112","-1,960",-13.9
Karnataka,"9,785","9,056",-729,-7.5,"9,934","9,056",-878,-8.8
Kerala,"3,495","3,333",-162,-4.6,"3,589","3,333",-256,-7.1
Tamil Nadu,"13,248","12,492",-756,-5.7,"13,380","12,492",-888,-6.6
Pondicherry,318,317,-1,-0.3,351,332,-19,-5.4
Lakshadweep,8,8,0,0.0,9,9,0,0.0
Southern Region,"37,096","34,129","-2,967",-8.0,"39,015","34,151","-4,864",-12.5
Bihar,"2,138","2,018",-120,-5.6,"2,465","2,312",-153,-6.2
DVC,"2,560","2,550",-10,-0.4,"2,745","2,745",0,0.0
Jharkhand,"1,010",984,-26,-2.6,"1,111","1,069",-42,-3.8
Orissa,"3,220","3,200",-20,-0.6,"3,727","3,722",-5,-0.1
West Bengal ,"6,257","6,237",-20,-0.3,"7,325","7,290",-35,-0.5
Sikkim,80,80,0,0.0,90,90,0,0.0
Andaman- Nicobar,40,32,-8,-20.0,40,32,-8,-20.0
Eastern Region,"14,265","14,082",-183,-1.3,"15,885","15,528",-357,-2.2
Arunachal Pradesh,118,116,-2,-1.7,125,124,-1,-0.8
Assam,"1,089","1,079",-10,-0.9,"1,329","1,220",-109,-8.2
Manipur,129,129,0,0.0,130,129,-1,-0.8
Meghalaya,343,330,-13,-3.8,343,330,-13,-3.8
Mizoram,84,82,-2,-2.4,84,82,-2,-2.4
Nagaland,107,106,-1,-0.9,109,106,-3,-2.8
Tripura,201,201,0,0.0,254,250,-4,-1.6
North-Eastern Region,"2,096","1,925",-171,-8.2,"2,164","2,048",-116,-5.4
All India ,"1,34,854","1,28,094","-6,760",-5.0,"1,35,561","1,29,815","-5,746",-4.2
,,,,,,,,
