State/System/Region,Requirement(MW)-July2014,Availability(MW)-July2014,Surplus / Deficit (MW)-July2014,Surplus / Deficit (%)-July2014,Requirement(MW)-April 2014-July2014,Availability(MW)-April2014-July2014,Surplus / Deficit (MW)-April2014-July2014,Surplus / Deficit (%)-April2014-July2014
Chandigarh,367,367,0,0,367,367,0,0
Delhi,"6,006","5,925",-81,-1.3,"6,006","5,925",-81,-1.3
Haryana,"8,752","8,752",0,0,"8,752","8,752",0,0
Himachal Pradesh,"1,248","1,248",0,0,"1,316","1,295",-21,-1.6
Jammu and Kashmir,"2,413","1,931",-482,-20,"2,422","1,938",-484,-20
Punjab,"11,534","9,699","-1,835",-15.9,"11,534","10,023","-1,511",-13.1
Rajasthan,"9,403","9,403",0,0,"9,403","9,403",0,0
Uttar Pradesh,"15,323","11,968","-3,355",-21.9,"15,670","11,968","-3,702",-23.6
Uttarakhand,"1,780","1,780",0,0,"1,833","1,833",0,0
Northern Region,"50,392","47,367","-3,025",-6,"51,112","47,367","-3,745",-7.3
Chattisgarh,"3,274","2,978",-296,-9,"3,450","3,350",-100,-2.9
Gujarat,"13,603","13,467",-136,-1,"13,603","13,499",-104,-0.8
Madhya Pradesh,"6,882","6,851",-31,-0.5,"7,388","7,033",-355,-4.8
Maharashtra,"18,586","18,483",-103,-0.6,"19,749","18,658","-1,091",-5.5
Daman and Diu ,297,297,0,0,297,297,0,0
Dadar Nagar Haveli,672,672,0,0,679,679,0,0
Goa,464,459,-5,-1.1,501,489,-12,-2.4
Western Region,"41,555","41,170",-385,-0.9,"43,170","42,365",-805,-1.9
Andhra Pradesh,"6,548","6,072",-476,-7.3,"7,144","6,158",-986,-13.8
Telangana,"7,121","5,949","-1,172",-16.5,"7,121","5,949","-1,172",-16.5
Karnataka,"8,953","8,137",-816,-9.1,"10,001","9,503",-498,-5
Kerala,"3,499","3,210",-289,-8.3,"3,760","3,495",-265,-7
Tamil Nadu,"13,174","13,034",-140,-1.1,"13,663","13,498",-165,-1.2
Puducherry,346,333,-13,-3.8,389,348,-41,-10.5
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,"35,686","34,541","-1,145",-3.2,"39,094","35,698","-3,396",-8.7
Bihar,"2,620","2,470",-150,-5.7,"2,620","2,470",-150,-5.7
DVC,"2,557","2,512",-45,-1.8,"2,610","2,590",-20,-0.8
Jharkhand,997,982,-15,-1.5,"1,060","1,037",-23,-2.2
Odisha,"3,664","3,634",-30,-0.8,"3,814","3,764",-50,-1.3
West Bengal ,"7,151","7,133",-18,-0.3,"7,544","7,524",-20,-0.3
Sikkim,78,78,0,0,80,80,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,"16,333","16,086",-247,-1.5,"16,628","16,342",-286,-1.7
Arunachal Pradesh,118,116,-2,-1.7,118,116,-2,-1.7
Assam,"1,329","1,187",-142,-10.7,"1,343","1,230",-113,-8.4
Manipur,131,125,-6,-4.6,131,125,-6,-4.6
Meghalaya,299,297,-2,-0.7,299,297,-2,-0.7
Mizoram,83,82,-1,-1.2,83,82,-1,-1.2
Nagaland,120,117,-3,-2.5,120,117,-3,-2.5
Tripura,239,238,-1,-0.4,246,246,0,0
North-Eastern Region,"2,263","1,996",-267,-11.8,"2,263","2,045",-218,-9.6
All India ,"146,229","141,160","-5,069",-3.5,"148,166","141,160","-7,006",-4.7
