State /System /Region,June_2015-Peak Demand-( MW ),June_2015-Peak Met-( MW ),June_2015-Surplus / Deficit (-)-( MW ),June_2015-Surplus / Deficit (-)-( % ),April_ 2015 - June_2015-Peak Demand-( MW ),April_ 2015 - June_2015-Peak Met-( MW ),April_ 2015 - June_2015-Surplus / Deficit (-)-( MW ),April_ 2015 - June_2015-Surplus / Deficit (-)-( % )
Chandigarh,342.0,342.0,0.0,0.0,342.0,342.0,0.0,0.0
Delhi,5846.0,5846.0,0.0,0.0,5846.0,5846.0,0.0,0.0
Haryana,8086.0,8086.0,0.0,0.0,8086.0,8086.0,0.0,0.0
Himachal Pradesh,1299.0,1299.0,0.0,0.0,1379.0,1379.0,0.0,0.0
Jammu & Kashmir,2437.0,1978.0,-459.0,-18.8,2437.0,1987.0,-450.0,-18.5
Punjab,10607.0,10607.0,0.0,0.0,10607.0,10607.0,0.0,0.0
Rajasthan,9010.0,9010.0,0.0,0.0,9010.0,9010.0,0.0,0.0
Uttar Pradesh,15391.0,13521.0,-1870.0,-12.1,15391.0,13521.0,-1870.0,-12.1
Uttarakhand,1986.0,1946.0,-40.0,-2.0,1986.0,1946.0,-40.0,-2.0
Northern Region,52837.0,49545.0,-3292.0,-6.2,52837.0,49545.0,-3292.0,-6.2
Chattisgarh,3394.0,3209.0,-185.0,-5.5,3788.0,3677.0,-111.0,-2.9
Gujarat,13266.0,13237.0,-29.0,-0.2,13314.0,13237.0,-77.0,-0.6
Madhya Pradesh,7127.0,7127.0,0.0,0.0,7147.0,7147.0,0.0,0.0
Maharashtra,19290.0,19145.0,-145.0,-0.8,19933.0,19722.0,-211.0,-1.1
Daman & Diu ,281.0,281.0,0.0,0.0,301.0,301.0,0.0,0.0
Dadar Nagar Haveli,725.0,725.0,0.0,0.0,740.0,740.0,0.0,0.0
Goa,450.0,449.0,-1.0,-0.2,583.0,552.0,-31.0,-5.3
Western Region,42608.0,41884.0,-724.0,-1.7,43530.0,43232.0,-298.0,-0.7
Andhra Pradesh,6628.0,6620.0,-8.0,-0.1,7032.0,6789.0,-243.0,-3.5
Telangana,5923.0,5912.0,-11.0,-0.2,6813.0,6661.0,-152.0,-2.2
Karnataka,8428.0,8235.0,-193.0,-2.3,9463.0,9335.0,-128.0,-1.4
Kerala,3672.0,3448.0,-224.0,-6.1,3762.0,3632.0,-130.0,-3.5
Tamil Nadu,13580.0,12968.0,-612.0,-4.5,13580.0,12968.0,-612.0,-4.5
Puducherry,357.0,350.0,-7.0,-2.0,357.0,350.0,-7.0,-2.0
Lakshadweep,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0
Southern Region,35399.0,35005.0,-394.0,-1.1,37801.0,36786.0,-1015.0,-2.7
Bihar,2967.0,2892.0,-75.0,-2.5,3025.0,2945.0,-80.0,-2.6
DVC,2749.0,2719.0,-30.0,-1.1,2814.0,2794.0,-20.0,-0.7
Jharkhand,1101.0,1083.0,-18.0,-1.6,1101.0,1083.0,-18.0,-1.6
Odisha,3846.0,3824.0,-22.0,-0.6,3914.0,3892.0,-22.0,-0.6
West Bengal ,7873.0,7853.0,-20.0,-0.3,7905.0,7885.0,-20.0,-0.3
Sikkim,83.0,83.0,0.0,0.0,84.0,84.0,0.0,0.0
Andaman- Nicobar,40.0,32.0,-8.0,-20.0,40.0,32.0,-8.0,-20.0
Eastern Region,17836.0,17710.0,-126.0,-0.7,17934.0,17841.0,-93.0,-0.5
Arunachal Pradesh,110.0,108.0,-2.0,-1.8,138.0,114.0,-24.0,-17.4
Assam,1395.0,1324.0,-71.0,-5.1,1395.0,1324.0,-71.0,-5.1
Manipur,149.0,147.0,-2.0,-1.3,160.0,153.0,-7.0,-4.4
Meghalaya,302.0,295.0,-7.0,-2.3,400.0,312.0,-88.0,-22.0
Mizoram,82.0,81.0,-1.0,-1.2,85.0,84.0,-1.0,-1.2
Nagaland,123.0,120.0,-3.0,-2.4,123.0,120.0,-3.0,-2.4
Tripura,249.0,249.0,0.0,0.0,300.0,254.0,-46.0,-15.3
North-Eastern Region,2356.0,2190.0,-166.0,-7.0,2573.0,2190.0,-383.0,-14.9
All India ,142056.0,137922.0,-4134.0,-2.9,145274.0,140296.0,-4978.0,-3.4
