State/System/Region,March 2015-Peak Demand-( MW ),March 2015-Peak Met-( MW ),March 2015-Surplus / Deficit (-)( MW ),March 2015-Surplus / Deficit (-)(%),April 2014 - March 2015-Peak Demand-( MW ),April 2014 - March 2015-Peak Met-( MW ),April 2014 - March 2015-Surplus / Deficit (-)( MW ),April 2014 - March 2015-Surplus / Deficit (-)(%)
Chandigarh,199.00,199.00,0.00,0.00,367.00,367.00,0.00,0.00
Delhi,3589.00,3589.00,0.00,0.00,6006.00,5925.00,-81.00,-1.30
Haryana,6010.00,6010.00,0.00,0.00,9152.00,9152.00,0.00,0.00
Himachal Pradesh,1365.00,1365.00,0.00,0.00,1422.00,1422.00,0.00,0.00
Jammu & Kashmir,2286.00,1988.00,-298.00,-13.00,2554.00,2043.00,-511.00,-20.00
Punjab,5881.00,5881.00,0.00,0.00,11534.00,10023.00,-1511.00,-13.10
Rajasthan,8199.00,8199.00,0.00,0.00,10642.00,10642.00,0.00,0.00
Uttar Pradesh,12400.00,12040.00,-360.00,-2.90,15670.00,13003.00,-2667.00,-17.00
Uttarakhand,1751.00,1751.00,0.00,0.00,1930.00,1930.00,0.00,0.00
Northern Region,40986.00,38423.00,-2563.00,-6.30,51977.00,47642.00,-4335.00,-8.30
Chattisgarh,3817.00,3638.00,-179.00,-4.70,3817.00,3638.00,-179.00,-4.70
Gujarat,12724.00,12719.00,-5.00,0.00,13603.00,13499.00,-104.00,-0.80
Madhya Pradesh,6815.00,6815.00,0.00,0.00,9755.00,9717.00,-38.00,-0.40
Maharashtra,19936.00,19804.00,-132.00,-0.70,20147.00,19804.00,-343.00,-1.70
Daman & Diu ,301.00,301.00,0.00,0.00,301.00,301.00,0.00,0.00
Dadar Nagar Haveli,714.00,714.00,0.00,0.00,714.00,714.00,0.00,0.00
Goa,466.00,465.00,-1.00,-0.20,501.00,489.00,-12.00,-2.40
Western Region,43580.00,43145.00,-435.00,-1.00,44166.00,43145.00,-1021.00,-2.30
Andhra Pradesh,6790.00,6784.00,-6.00,-0.10,7144.00,6784.00,-360.00,-5.00
Telangana,6920.00,6755.00,-165.00,-2.40,7884.00,6755.00,-1129.00,-14.30
Karnataka,9889.00,9549.00,-340.00,-3.40,10001.00,9549.00,-452.00,-4.50
Kerala,3724.00,3594.00,-130.00,-3.50,3760.00,3594.00,-166.00,-4.40
Tamil Nadu,13707.00,12659.00,-1048.00,-7.60,13707.00,13498.00,-209.00,-1.50
Puducherry,337.00,335.00,-2.00,-0.60,389.00,348.00,-41.00,-10.50
Lakshadweep,8.00,8.00,0.00,0.00,8.00,8.00,0.00,0.00
Southern Region,38548.00,37047.00,-1501.00,-3.90,39094.00,37047.00,-2047.00,-5.20
Bihar,2994.00,2874.00,-120.00,-4.00,2994.00,2874.00,-120.00,-4.00
DVC,2423.00,2393.00,-30.00,-1.20,2653.00,2590.00,-63.00,-2.40
Jharkhand,1025.00,1007.00,-18.00,-1.80,1075.00,1055.00,-20.00,-1.90
Odisha,3920.00,3892.00,-28.00,-0.70,3920.00,3892.00,-28.00,-0.70
West Bengal ,7347.00,7332.00,-15.00,-0.20,7544.00,7524.00,-20.00,-0.30
Sikkim,77.00,77.00,0.00,0.00,83.00,83.00,0.00,0.00
Andaman- Nicobar,40.00,32.00,-8.00,-20.00,40.00,32.00,-8.00,-20.00
Eastern Region,17040.00,16932.00,-108.00,-0.60,17040.00,16932.00,-108.00,-0.60
Arunachal Pradesh,120.00,107.00,-13.00,-10.80,139.00,126.00,-13.00,-9.40
Assam,1320.00,1215.00,-105.00,-8.00,1450.00,1257.00,-193.00,-13.30
Manipur,148.00,146.00,-2.00,-1.40,150.00,146.00,-4.00,-2.70
Meghalaya,360.00,343.00,-17.00,-4.70,370.00,367.00,-3.00,-0.80
Mizoram,84.00,81.00,-3.00,-3.60,90.00,88.00,-2.00,-2.20
Nagaland,130.00,128.00,-2.00,-1.50,140.00,128.00,-12.00,-8.60
Tripura,260.00,233.00,-27.00,-10.40,310.00,266.00,-44.00,-14.20
North-Eastern Region,2403.00,2131.00,-272.00,-11.30,2528.00,2202.00,-326.00,-12.90
All India ,142557.00,137678.00,-4879.00,-3.40,148166.00,141160.00,-7006.00,-4.70
