State /System /Region,July 2017-Peak Demand-( MW ),July 2017-Peak Met-( MW ),July 2017-Surplus / Deficit (-)-( MW ),July 2017-Surplus / Deficit (-)-( % ),April 2017-July 2017-Peak Demand-( MW ),April 2017-July 2017-Peak Met-( MW ),April 2017-July 2017-Surplus / Deficit (-)-( MW ),April 2017-July 2017-Surplus / Deficit (-)-( % )
Chandigarh,363,363,0,0,363,363,0,0
Delhi,6127,6121,-6,0,6553,6526,-27,0
Haryana,9539,9539,0,0,9539,9539,0,0
Himachal Pradesh,1346,1346,0,0,1377,1377,0,0
Jammu & Kashmir,2643,2114,-529,-20,2768,2214,-554,-20
Punjab,11705,11705,0,0,11705,11705,0,0
Rajasthan,9795,9795,0,0,10347,10347,0,0
Uttar Pradesh,18704,17394,-1310,-7,18827,18061,-766,-4
Uttarakhand,1971,1971,0,0,2027,2027,0,0
Northern Region,56398,55865,-533,-1,56398,55865,-533,-1
Chattisgarh,3758,3553,-205,-6,3888,3887,-1,0
Gujarat,11954,11946,-9,0,15695,15695,0,0
Madhya Pradesh,7290,7243,-47,-1,8402,8402,0,0
Maharashtra,19339,19290,-49,0,22542,22494,-48,0
Daman & Diu ,322,322,0,0,342,342,0,0
Dadar Nagar Haveli,790,790,0,0,790,790,0,0
Goa,559,558,-1,0,559,558,-1,0
Western Region,41325,41280,-45,0,49860,49788,-72,0
Andhra Pradesh,7968,7933,-35,0,8020,8000,-20,0
Telangana,9334,9326,-8,0,9334,9326,-8,0
Karnataka,8980,8978,-2,0,9992,9987,-5,0
Kerala,3667,3452,-215,-6,3889,3862,-27,-1
Tamil Nadu,14689,14663,-26,0,15001,14975,-26,0
Puducherry,384,378,-6,-2,388,387,0,0
Lakshadweep,8,8,0,0,9,9,0,0
Southern Region,42678,42404,-274,-1,42770,42535,-235,-1
Bihar,4182,4113,-69,-2,4394,4131,-263,-6
DVC,2592,2592,0,0,2684,2684,0,0
Jharkhand,1203,1203,0,0,1228,1228,0,0
Odisha,4154,4154,0,0,4227,4227,0,0
West Bengal ,7685,7671,-14,0,7820,7793,-27,0
Sikkim,78,78,0,0,91,91,0,0
Andaman- Nicobar,58,54,-4,-7,58,54,-4,-7
Eastern Region,19221,19141,-80,0,19255,19191,-64,0
Arunachal Pradesh,132,131,-1,-1,145,145,0,0
Assam,1675,1645,-30,-2,1744,1645,-99,-6
Manipur,161,158,-3,-2,163,161,-2,-1
Meghalaya,305,303,-2,-1,305,304,-1,0
Mizoram,84,82,-2,-2,86,85,-1,-1
Nagaland,140,136,-4,-3,147,146,-1,0
Tripura,307,302,-5,-2,307,304,-3,-1
North-Eastern Region,2507,2429,-78,-3,2507,2429,-78,-3
All India ,156750,154302,-2449,-2,159816,158393,-1423,-1
