State /System /Region,January 2018-Peak Demand-( MW ),January 2018-Peak Met-( MW ),January 2018-Surplus / Deficit (-)-( MW ),January 2018-Surplus / Deficit (-)-( % ),April 2017-January 2018-Peak Demand-( MW ),April 2017-January 2018-Peak Met-( MW ),April 2017-January 2018-Surplus / Deficit (-)-( MW ),April 2017-January 2018-Surplus / Deficit (-)-( % )
Chandigarh,242,242,0,0,363,363,0,0
Delhi,4464,4464,0,0,6553,6526,-27,0
Haryana,6990,6940,-50,-1,9671,9539,-132,-1
Himachal Pradesh,1594,1594,0,0,1594,1594,0,0
Jammu & Kashmir,2899,2319,-580,-20,2899,2319,-580,-20
Punjab,6260,6260,0,0,11705,11705,0,0
Rajasthan,11722,11564,-158,-1,11722,11564,-158,-1
Uttar Pradesh,15104,14989,-115,-1,20274,18061,-2213,-11
Uttarakhand,2149,2149,0,0,2149,2149,0,0
Northern Region,47214,46252,-962,-2,60749,58448,-2301,-4
Chattisgarh,3440,3223,-217,-6,4169,3887,-282,-7
Gujarat,14031,14021,-10,0,16590,16590,0,0
Madhya Pradesh,12199,12165,-33,0,12338,12301,-37,0
Maharashtra,21073,21065,-8,0,22542,22494,-48,0
Daman & Diu ,339,339,0,0,362,362,0,0
Dadar Nagar Haveli,766,766,0,0,790,790,0,0
Goa,523,522,-1,0,559,558,-1,0
Western Region,50477,50085,-392,-1,50477,50085,-392,-1
Andhra Pradesh,8578,8558,-20,0,8578,8558,-20,0
Telangana,9417,9399,-18,0,9522,9500,-22,0
Karnataka,10381,10347,-34,0,10381,10347,-34,0
Kerala,3547,3543,-4,0,3889,3862,-27,-1
Tamil Nadu,14131,14098,-33,0,15001,14975,-26,0
Puducherry,354,346,-8,-2,390,387,-3,-1
Lakshadweep,8,8,0,0,9,9,0,0
Southern Region,43306,43115,-191,0,43306,43115,-191,0
Bihar,4359,4343,-16,0,4521,4515,-6,0
DVC,2886,2886,0,0,2886,2886,0,0
Jharkhand,1192,1192,0,0,1332,1260,-72,-5
Odisha,4181,3931,-250,-6,4370,4370,0,0
West Bengal ,6369,6357,-12,0,8137,8114,-23,0
Sikkim,94,94,0,0,96,96,0,0
Andaman- Nicobar,58,54,-4,-7,58,54,-4,-7
Eastern Region,18526,18256,-270,-2,20274,20208,-66,0
Arunachal Pradesh,139,134,-5,-3,145,145,0,0
Assam,1539,1510,-29,-2,1822,1745,-77,-4
Manipur,202,195,-7,-3,202,195,-7,-3
Meghalaya,331,331,0,0,369,368,-1,0
Mizoram,105,96,-9,-8,105,96,-9,-8
Nagaland,152,124,-28,-18,155,146,-9,-6
Tripura,262,262,0,0,342,342,0,0
North-Eastern Region,2339,2317,-22,-1,2629,2520,-109,-4
All India ,158640,156720,-1920,-1,164066,160752,-3314,-2
