State /System /Region,May 2018-Peak Demand-( MW ),May 2018-Peak Met-( MW ),May 2018-Surplus / Deficit (-)-( MW ),May 2018-Surplus / Deficit (-)-( % ),April 2018-May 2018-Peak Demand-( MW ),April 2018-May 2018-Peak Met-( MW ),April 2018-May 2018-Surplus / Deficit (-)-( MW ),April 2018-May 2018-Surplus / Deficit (-)-( % )
Chandigarh,350,350,0,0,350,350,0,0
Delhi,6442,6442,0,0,6442,6442,0,0
Haryana,8351,8351,0,0,8351,8351,0,0
Himachal Pradesh,1405,1405,0,0,1424,1424,0,0
Jammu & Kashmir,2945,2356,-589,-20,2945,2356,-589,-20
Punjab,8920,8920,0,0,8920,8920,0,0
Rajasthan,11298,11298,0,0,11298,11298,0,0
Uttar Pradesh,19456,19284,-172,-1,19456,19284,-172,-1
Uttarakhand,2097,2097,0,0,2097,2097,0,0
Northern Region,56546,56243,-303,-1,56546,56243,-303,-1
Chattisgarh,3663,3652,-11,0,3663,3652,-11,0
Gujarat,17053,15855,-1198,-7,17053,15855,-1198,-7
Madhya Pradesh,8764,8745,-19,0,8764,8745,-19,0
Maharashtra,23395,23254,-141,-1,23395,23254,-141,-1
Daman & Diu ,310,310,0,0,347,347,0,0
Dadar Nagar Haveli,778,778,0,0,778,778,0,0
Goa,532,530,-2,0,562,562,0,0
Western Region,53841,52442,-1399,-3,53841,52442,-1399,-3
Andhra Pradesh,9253,9249,-4,0,9253,9249,-4,0
Telangana,7780,7752,-28,0,9125,9125,0,0
Karnataka,9870,9778,-93,-1,10690,10688,-2,0
Kerala,4050,3997,-53,-1,4050,3997,-53,-1
Tamil Nadu,14731,14702,-29,0,14981,14981,0,0
Puducherry,420,400,-19,-5,420,400,-19,-5
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,43234,43234,0,0,45946,45684,-262,-1
Bihar,4815,4814,-1,0,4815,4814,-1,0
DVC,2701,2701,0,0,2799,2760,-39,-1
Jharkhand,1284,1284,0,0,1284,1284,0,0
Odisha,4615,4615,0,0,4615,4615,0,0
West Bengal ,8391,8385,-6,0,8906,8899,-7,0
Sikkim,88,88,0,0,90,90,0,0
Andaman- Nicobar,58,54,-4,-7,58,54,-4,-7
Eastern Region,21256,21249,-7,0,21320,21275,-45,0
Arunachal Pradesh,128,123,-5,-4,130,125,-5,-4
Assam,1626,1596,-29,-2,1626,1596,-29,-2
Manipur,179,172,-7,-4,193,186,-7,-4
Meghalaya,371,368,-2,-1,371,368,-2,-1
Mizoram,96,87,-9,-10,98,89,-9,-10
Nagaland,147,119,-28,-19,156,127,-29,-18
Tripura,276,276,0,0,276,276,0,0
North-Eastern Region,2709,2611,-98,-4,2709,2611,-98,-4
All India ,171973,170765,-1208,-1,171973,170765,-1208,-1
